Category (Category),Geoname,Min. LB
Income,98354,67638.16
Income,98288,30357.8
Income,98224,19460.68
Income,98199,101181.84
Income,98198,60796.76
Income,98188,52336.08
Income,98178,68559.2
Income,98177,100437.4
Income,98168,51085.36
Income,98166,71222.44
Income,98164,16229.04
Income,98155,81101.68
Income,98148,50675.56
Income,98146,58185.24
Income,98144,70628.84
Income,98136,96218.52
Income,98134,48358.08
Income,98133,60500.44
Income,98126,73732.8
Income,98125,59436.88
Income,98122,67063.76
Income,98121,93793.52
Income,98119,82997.2
Income,98118,65004.88
Income,98117,102564.64
Income,98116,98755.88
Income,98115,100658.24
Income,98112,105880.52
Income,98109,93158.4
Income,98108,53526.04
Income,98107,87026.16
Income,98106,61075.04
Income,98105,51380.2
Income,98104,37744.52
Income,98103,93254.24
Income,98102,81850.76
Income,98101,59447.04
Income,98092,83750.52
Income,98077,136443.36
Income,98075,160040.8
Income,98074,158329.36
Income,98072,105657.28
Income,98070,53627.16
Income,98068,85002.6
Income,98065,131189.32
Income,98059,97471.24
Income,98058,83833.84
Income,98057,40992.2
Income,98056,77649.64
Income,98055,63347.96
Income,98053,126428.08
Income,98052,120912.28
Income,98051,83040.4
Income,98050,25433.24
Income,98047,52962.92
Income,98045,99843.16
Income,98042,95611
Income,98040,130860.76
Income,98039,141883.24
Income,98038,99981.84
Income,98034,93479.2
Income,98033,118305.92
Income,98032,55508.88
Income,98031,73338.8
Income,98030,55086.08
Income,98029,111195.56
Income,98028,95885.16
Income,98027,102463
Income,98024,115217.48
Income,98023,73641.16
Income,98022,60975.96
Income,98019,105836.6
Income,98014,98287.88
Income,98011,89624
Income,98010,91788.96
Income,98008,95220.28
Income,98007,83008.8
Income,98006,126927.8
Income,98005,101464.84
Income,98004,115989.76
Income,98003,53410.04
Income,98002,50990.72
Income,98001,78204.32
